name,category,latitude,longitude
Kaniminike Colony,bus_stop,12.8580199,77.4288005
Swaminarayana Gurukul,bus_stop,12.8668122,77.4368213
Sheshagiri Halli,bus_stop,12.8436969,77.4210532
Lakshmisagar Gate,bus_stop,12.8225183,77.4104631
Sheshagiri Halli,bus_stop,12.8438488,77.421585
Tibetan College,bus_stop,12.8504871,77.4241787
Pepsi Gate,bus_stop,12.8728736,77.4401625
Tibetan College,bus_stop,12.8505948,77.4247269
Rajarajeshwari Medical College,bus_stop,12.8965388,77.4611007
Anche Palya,bus_stop,12.8921999,77.4575065
Kadumane Hotel,bus_stop,12.8156931,77.4074981
Railway Station,bus_stop,12.7997785,77.3907557
Byramangala Cross,bus_stop,12.8035626,77.3981197
Bidadi,bus_stop,12.7968079,77.3845511
Bananduru,bus_stop,12.7772754,77.3977885
Channasandra,bus_stop,12.9028393,77.5214275
Chanasandra Colony,bus_stop,12.9033405,77.5161464
Indo American Hybrid Farm,bus_stop,12.9039806,77.512583
Omkar Hills,bus_stop,12.9047297,77.50464
Byramangala Cross,bus_stop,12.8036044,77.3983334
Bidadi,bus_stop,12.7966117,77.3846242
Karubele,bus_stop,12.8747102,77.4657556
Jyothi Farm,bus_stop,12.8597084,77.5286548
Lakshmipura,bus_stop,12.8333438,77.5137889
Saala Doddi,bus_stop,12.8301684,77.513055
Kaggalipura,bus_stop,12.8001372,77.5082934
Gandhinagara Kaggalipura,bus_stop,12.7900321,77.5044125
KEB Office Somanahalli,bus_stop,12.7823184,77.4994431
Somanahalli gate,bus_stop,12.7804293,77.4967485
Vajramuneshwara Temple,bus_stop,12.8527766,77.5302443
Vasudevapura,bus_stop,12.8180141,77.5206294
Chudahalli,bus_stop,12.7822519,77.4894448
Naganayakanahalli,bus_stop,12.792354,77.4777332
Aladamara,bus_stop,12.7887297,77.4837065
Mallipalya,bus_stop,12.795825,77.4740076
Nellagulli Cross,bus_stop,12.7741183,77.4920344
Sundaram Estate,bus_stop,12.7747802,77.4784485
Karenahalli,bus_stop,12.7824994,77.4688298
Gudipalya,bus_stop,12.7941412,77.4838084
Nettigere Gate,bus_stop,12.7612292,77.4865598
Bolare,bus_stop,12.7542962,77.4847004
Ravogodlu gate,bus_stop,12.7491919,77.4864717
Shanumangala Cross,bus_stop,12.7920171,77.438897
Shanumangala,bus_stop,12.7949408,77.4320021
Eagleton Gate,bus_stop,12.8105131,77.4163524
Narayanapura,bus_stop,12.7924856,77.4608619
Kattalepalya,bus_stop,12.7969777,77.4642613
Jogana Palya,bus_stop,12.7811904,77.4394225
Anchipura Colony,bus_stop,12.7673832,77.4388688
Banjarapalya,bus_stop,12.8305974,77.4856477
Gangasandra,bus_stop,12.8463637,77.4705664
BGS College Gate,bus_stop,12.8466337,77.4624613
Gollahalli,bus_stop,12.8433644,77.4515227
Gonipura,bus_stop,12.8323434,77.4510969
Thittahalli,bus_stop,12.8217557,77.4604137
MRV Bricks Factory,bus_stop,12.8194527,77.4607345
BGS College Cross,bus_stop,12.8474259,77.4688917
Kumbalagodu,bus_stop,12.8794234,77.4462211
Kumbalagodu,bus_stop,12.8793226,77.4457076
Ramohalli Cross,bus_stop,12.8868428,77.4513116
Ramohalli Cross,bus_stop,12.8866203,77.4508184
Basavanagara,bus_stop,12.900973,77.4671249
Basavanagara,bus_stop,12.9010645,77.4676251
Bannigiri,bus_stop,12.7472328,77.4333103
Matada Bailu,bus_stop,12.7486995,77.42858
Byramangala,bus_stop,12.7488172,77.4244934
Jettipalya,bus_stop,12.7504657,77.4730145
Thokathimmanadoddi,bus_stop,12.7482539,77.479879
Apco Factory,bus_stop,12.7621096,77.4702763
Gollahalli,bus_stop,12.75352,77.4521834
Kodi Palya Cross,bus_stop,12.7539386,77.4475539
Bannigiri,bus_stop,12.7562454,77.4363965
Hosa Doddi,bus_stop,12.7654624,77.4837514
Sadanapalya gate,bus_stop,12.768029,77.4885449
Sadanapalya,bus_stop,12.7687806,77.4829138
Veerasandra,bus_stop,12.7567375,77.4806078
Gulaka Malai,bus_stop,12.7977364,77.5241965
Gadipalya,bus_stop,12.7663591,77.5284248
Dinnepalya,bus_stop,12.811453,77.4923823
Thimmegowdana Palya,bus_stop,12.8245059,77.4845607
Ganigara Palya,bus_stop,12.8759616,77.5332439
Chikkegowdana Palya,bus_stop,12.8785727,77.5151455
Gattigere Palya,bus_stop,12.8820003,77.5013924
Sompura,bus_stop,12.8778149,77.4966267
Dasegowdana Palya,bus_stop,12.8805375,77.5055475
Lakshmi Devastana,bus_stop,12.8863796,77.4983439
Sridhara Gudda,bus_stop,12.8991288,77.4876092
Konasandra Cross,bus_stop,12.892572,77.4863349
Madarasa School,bus_stop,12.8808129,77.4594177
St Bentic School,bus_stop,12.8871039,77.4588222
Kambipura,bus_stop,12.8718914,77.4617673
Jandemara,bus_stop,12.8748044,77.4612498
Kengeri RWS Gate,bus_stop,12.9041118,77.4757893
Bhimanakuppe,bus_stop,12.9040883,77.4383518
Vinayaka Nagara,bus_stop,12.9029695,77.4301728
H Gollahalli,bus_stop,12.8760451,77.4801467
Channaveeraiahna Palya,bus_stop,12.8756058,77.4870034
Varahasandra,bus_stop,12.8774351,77.4902322
Doddipalya,bus_stop,12.8578812,77.4726031
JSS College,bus_stop,12.9039299,77.5094821
BEML Layout 5th Stage,bus_stop,12.9066721,77.5215371
Kaniminike,bus_stop,12.8631592,77.43384
Kaniminike Colony,bus_stop,12.8580771,77.4291287
Hejjala Cross,bus_stop,12.8550579,77.4269368
Hejjala Cross,bus_stop,12.855291,77.426377
Manchanayakanahalli Gate,bus_stop,12.8343257,77.4146461
Manchanayakanahalli Gate,bus_stop,12.8346215,77.4140239
Veeranjaneya Temple,bus_stop,12.8297726,77.4123046
Billa Kempanahalli,bus_stop,12.8102832,77.4064424
Hampapura,bus_stop,12.8307318,77.4289288
J. U. Industrial Training Institute,bus_stop,12.8366277,77.4104438
Vajara Halli,bus_stop,12.8239118,77.391568
KHB Colony,bus_stop,12.8025383,77.3864275
Billakempanahalli,bus_stop,12.8121239,77.4040288
Billakempana Halli,bus_stop,12.8119936,77.403806
Devagere Cross,bus_stop,12.864357,77.4569097
Bychohalli,bus_stop,12.8062693,77.438157
Pichaguntarya Palya,bus_stop,12.8049754,77.4223172
Anchipura,bus_stop,12.770235,77.4320434
Ittamadu,bus_stop,12.7566154,77.4045923
Ramanahalli,bus_stop,12.7416832,77.401627
Chikkaluru Cross,bus_stop,12.8918045,77.4217798
Lakkayyanapalya,bus_stop,12.8894582,77.4024734
Ram pura,bus_stop,12.8902501,77.3988205
Donnenahalli,bus_stop,12.8921937,77.392031
Kenchanapalya,bus_stop,12.8443722,77.4453831
Kallegoudana Palya,bus_stop,12.8468691,77.4471008
Gaviyana Palya,bus_stop,12.8408987,77.4700551
Aladamara,bus_stop,12.8244819,77.48989
Muthurayana Pura,bus_stop,12.8595929,77.4005088
Karenahalli Cross,bus_stop,12.8620188,77.3950577
CK Thandya Cross,bus_stop,12.8653248,77.3922746
Dodderei Colony,bus_stop,12.8673631,77.3840262
Canara Bank,bank,12.8013009,77.3947239
Jnana Vikas Degree College,college,12.8000409,77.3962371
Jnana Vikas School,school,12.7982308,77.394607
Syndicate Bank,bank,12.8010775,77.3944351
Anand Clinic,hospital,12.8002465,77.5088745
Sanjeevani Clinic,hospital,12.8011096,77.5084507
Government Hospital,hospital,12.8047243,77.5109371
Rajarajeshwari Hospital and Medical College,hospital,12.896052,77.4618775
State Bank of India,bank,12.9043665,77.5053944
UCO Bank,bank,12.9048448,77.5050195
SJB Institute of Technology,college,12.8990538,77.4963065
IBS business school,school,12.8982,77.4640772
Unnamed,bus_stop,12.7968405,77.3835939
The Study,school,12.8499585,77.5060551
Unnamed,school,12.7742046,77.5297573
State Bank of India,bank,12.8026883,77.5088247
Abbanakuppe,bus_stop,12.7739716,77.4096801
YMCA Public School Mysore Road,bus_stop,12.8734534,77.4484346
Byramangala Cross,bus_stop,12.8668247,77.4538993
Kodipalya,bus_stop,12.9044751,77.4879509
Konasandra,bus_stop,12.8897814,77.4856871
Thimmappana Palya,bus_stop,12.8415069,77.3927479
"Prashanthi Hospital, Ramanagara",hospital,12.7975651,77.3844726
Chitrakala Parishattu,college,12.902777,77.5073782
"Government Hospital, Byramangala",hospital,12.7501642,77.4223844
"Government Hospital, Bidadi",hospital,12.7962258,77.3850964
Ganakkal,bus_stop,12.8984779,77.5122102
Chinkurchi,bus_stop,12.8274696,77.4595899
Block 5,college,12.8619368,77.4385339
Provident Sunworth Apartments,bus_stop,12.8824672,77.4718418
Challaghatta,railway_station,12.8973539,77.4612877
Silk Institute,railway_station,12.8617298,77.5299545
Sai Krupa Hospital,hospital,12.8629885,77.4330082
S.G.K. Modern Public School,school,12.899218,77.4681595
Chikkegowdana Palya,bus_stop,12.8786603,77.5151815
Abbanakuppe,bus_stop,12.7741232,77.4093904
Mantri Alpyne Apartment,bus_stop,12.9044908,77.5271876
Patalamma Temple,bus_stop,12.9049353,77.5299919
Mantri Alpyne Apartment,bus_stop,12.904517,77.526961
Channasandra,bus_stop,12.9029038,77.5213632
Channasandra Colony,bus_stop,12.9034398,77.5161114
Indo American Hybrid Farm,bus_stop,12.9041209,77.5122826
JSS College,bus_stop,12.9039101,77.5079723
Omkar Hills,bus_stop,12.9048235,77.5045243
St. Benedict's Church,bus_stop,12.8845469,77.4630332
Doddabele,bus_stop,12.8884898,77.4716806
Shanimahathma Temple,bus_stop,12.8368122,77.5158748
Lakshmipura,bus_stop,12.833359,77.5136882
Dayananda Sagar College,bus_stop,12.8251148,77.5135674
Kariyanapalya,bus_stop,12.8928366,77.5217736
Srinivasapura Uttarahalli Road,bus_stop,12.90139,77.5109321
Srinivasapura,bus_stop,12.9038372,77.5106478
Srinivasapura Uttarahalli Road,bus_stop,12.9015731,77.5107148
Kariyanapalya,bus_stop,12.8926522,77.5217005
Silk Institute Metro Station,bus_stop,12.8610895,77.5297183
Jyothi Farm,bus_stop,12.8600704,77.5290906
Vajramuneshwara Gate,bus_stop,12.8646641,77.5333004
Petrichor,shopping,12.8857784,77.4641664
Sommanahalli Toll,bus_stop,12.7828808,77.5004219
Kaggalipura,bus_stop,12.8001885,77.5084551
Silk Institute Metro Station,bus_stop,12.8619812,77.5299396
Art of Living Sri Ravishankar Ashram,bus_stop,12.8280322,77.5126179
Ganigarapalya,bus_stop,12.8761419,77.5331984
Chikkegowdanapalya Junction,bus_stop,12.878082,77.5166827
MRB Grand Hotel,bus_stop,12.8882806,77.5161691
Kariyanapalya Cross (80 Foot Road Junction),bus_stop,12.8922601,77.5144109
Srinivasapura,bus_stop,12.9039352,77.5108355
JSS College,bus_stop,12.9037869,77.507973
Vishal Mega Mart,shopping,12.9036676,77.5078566
Top in Town,shopping,12.9040944,77.5080064
Shopping City Hyper Market,shopping,12.9038987,77.5122395
Happy Home Super Mart,shopping,12.9006554,77.4876132
Mamtha Super Market,shopping,12.9033332,77.4875944
JSS Academy of Technical Education,college,12.9025617,77.5050775
Jnana Sweekar Public School,school,12.8664621,77.5339062
Unnamed,park,12.9018662,77.5326071
Canara Bank,bank,12.9021129,77.5190255
ACS College of Engineering,college,12.8912228,77.4653706
Rajarajeshwari College of Engineering,college,12.886691,77.4496199
Rajarajeswari Dental College and Hospital,college,12.8877537,77.450487
JSS School,school,12.9030917,77.5103778
Adichunchanagiri Shikshana Trust,college,12.9012695,77.4972635
The Valley School,school,12.8535766,77.5101577
SDM Institute of Ayurveda & Hospital,hospital,12.8938602,77.4572342
Maharishi Institute of Management,college,12.8198006,77.411327
Rajarajeshwari Medical College and Hospital,college,12.8939067,77.462609
Marigold International School,school,12.8916785,77.4540001
Unnamed,college,12.8565148,77.4555819
Jnana Vikas Institute of Technology,college,12.7997426,77.3947066
JIT's mini park,park,12.8417209,77.5122472
Unnamed,park,12.8595647,77.5291674
Open Air Auditorium,college,12.862723,77.4385794
"National Public School, Banashankari",school,12.8985074,77.5274508
Sri Sri Ayurveda hospital,hospital,12.8222,77.5217734
Dayananda Sagar Academy of Technology and Management,college,12.8250806,77.515023
Deeksha PU College,school,12.8620252,77.5313659
Unnamed,park,12.8806072,77.4656068
Unnamed,park,12.8834892,77.4637963
Unnamed,park,12.8814609,77.4652782
Unnamed,park,12.8807955,77.4647183
Unnamed,park,12.8805398,77.4640289
Unnamed,park,12.8807934,77.4637547
Unnamed,park,12.8797757,77.464099
Unnamed,park,12.8800875,77.4643301
Unnamed,park,12.8801607,77.4638929
Unnamed,park,12.8846041,77.4639103
E,park,12.8815284,77.4637824
D,park,12.8817044,77.4632182
C,park,12.8822204,77.4632645
F,park,12.8821375,77.4638372
B,park,12.8827876,77.4634114
A,park,12.8828019,77.4638865
Unnamed,park,12.8823473,77.4643622
Unnamed,park,12.8823139,77.4646298
Shree Swaminarayana Gurukul International,school,12.8655143,77.4385704
The Dalai Lama Institute for Higher Education,college,12.8483709,77.4262486
Tyagaraju Central School,school,12.8037894,77.3973325
Unnamed,park,12.8808103,77.4703932
Unnamed,park,12.7875695,77.5111668
Unnamed,park,12.7864477,77.5114978
Unnamed,park,12.7879087,77.5121358
Unnamed,park,12.7880122,77.51192
Unnamed,park,12.7880645,77.5116133
Edify School,school,12.787678,77.5025126
Unnamed,park,12.7896097,77.5135003
Unnamed,park,12.7877813,77.5124039
Unnamed,park,12.7857496,77.5119238
Unnamed,park,12.7872909,77.5178549
Unnamed,park,12.7878752,77.5147566
Unnamed,park,12.7864474,77.514957
Unnamed,park,12.8152203,77.5095581
Childrens Park,park,12.8133833,77.5085754
Unnamed,park,12.7974056,77.4225513
Chirst University - Kengeri Campus,college,12.860892,77.4387988
Elders,park,12.8865066,77.4540595
Unnamed,park,12.8622285,77.4381969
Unnamed,park,12.860952,77.4372535
Arch ground,park,12.8601708,77.4389307
S Mart,shopping,12.8968989,77.4620195
APS College Somanahalli,college,12.7857346,77.4979261
Amphitheater,park,12.8829709,77.4644213
DBIT Playgroud,park,12.8828096,77.4456321
Don Bosco Institute of Technology,college,12.8822865,77.4444334
Basket Ball Court,park,12.8803473,77.4698935
Badminton Court,park,12.8802874,77.4702063
BGS College,college,12.8488998,77.4636448
Basava Residential Girls School,school,12.8904886,77.4691111
St. Benedict's Academy,college,12.8882897,77.4598763
Chitrakala Parishattu,college,12.902964,77.5074479
RNS Institute of Technology,college,12.9007364,77.5173828
Unnamed,park,12.7905422,77.4119384
Unnamed,park,12.883567,77.4732159
Unnamed,school,12.8502749,77.5074211
Unnamed,park,12.8590519,77.513357
Unnamed,park,12.9066177,77.5289512
Unnamed,park,12.9035901,77.5289619
"National Public School, Uttarahalli",school,12.9029418,77.5321289
Unnamed,park,12.8996396,77.529611
BDA Sculpture Park,park,12.8961623,77.5252416
Indus Business Academy,college,12.8332195,77.5121822
Unnamed,park,12.8774271,77.5060129
Unnamed,park,12.8838456,77.463817
Unnamed,park,12.7849942,77.5187899
Unnamed,park,12.7844425,77.5168354
Unnamed,park,12.7852363,77.5149312
Unnamed,park,12.8149252,77.508449
IBS Business School,college,12.8972748,77.4650489
Toyota Eco Zone,park,12.7884581,77.4233495
Unnamed,school,12.8504651,77.5207248
Jyothy Institute of Technology,college,12.8422553,77.5129468
"Government High School, Kumbalagodu",college,12.8782421,77.4503115
National Academy of RUDSETI,college,12.8780656,77.4516438
RV College of Architecture,college,12.8781579,77.5130235
Chinmaya Vidyalaya Banashankari,school,12.8875805,77.4874923
Unnamed,park,12.8626481,77.4723626
St. John's Health Centre,hospital,12.8137466,77.5104134
De Paul Institute of Religion and Philosopgy,college,12.9052987,77.4469199
Unnamed,park,12.900052,77.4355211
East West College,college,12.8930771,77.439036
Unnamed,school,12.8967192,77.5293574
Unnamed,park,12.9064785,77.5323113
Unnamed,park,12.8957165,77.5311915
Unnamed,park,12.9015561,77.5134393
Unnamed,park,12.8131921,77.5075719
Unnamed,school,12.8932634,77.5223903
Unnamed,park,12.8929767,77.5329293
Unnamed,park,12.8613174,77.5212029
Unnamed,park,12.8683274,77.5243603
Unnamed,park,12.8377974,77.4203955
Unnamed,park,12.8958094,77.5301333
Fiscal Policy Institute,college,12.8986489,77.4667132
Unnamed,school,12.8386094,77.482852
Unnamed,park,12.8168919,77.4600724
Unnamed,school,12.8340419,77.4926385
St. Mary's Global Academy,college,12.9049222,77.4948419
Unnamed,school,12.9007541,77.4884411
Shubham Karoti Maitreyi Gurukul,school,12.907687,77.4285253
Amrutha Institute of Engineering,college,12.7622314,77.4107033
Unnamed,school,12.8011556,77.5259866
Cadambam's Psychiatric Hospital,hospital,12.7964954,77.5274237
Sri Sri Institute,college,12.8250586,77.520875
Unnamed,park,12.8777989,77.434274
Unnamed,park,12.8785644,77.4357083
Tattva School,school,12.8758987,77.4354091
Unnamed,park,12.8779728,77.4410477
St. Philomena's High School,school,12.8767779,77.4437984
Youth Training Centre,college,12.8769292,77.4454621
Unnamed,park,12.8930353,77.5162214
Unnamed,school,12.8318609,77.5260758
Unnamed,school,12.8490423,77.5071837
Unnamed,college,12.8883276,77.4364189
Unnamed,school,12.8920927,77.4352281
Unnamed,college,12.7816985,77.3937222
Unnamed,college,12.795194,77.388563
Unnamed,school,12.8870281,77.4846513
Unnamed,college,12.8884283,77.3998524
Unnamed,school,12.7987133,77.5118735
Kaggalipura Government Hospital,hospital,12.8050377,77.5121793
NGS Madrasa Ashraful Banat,school,12.8579776,77.5306716
Unnamed,park,12.8607117,77.5283808
State Bank of India,bank,12.8952509,77.6019087
Unnamed,school,12.8772119,77.6025994
Utharahalli Circle,bus_stop,12.9059216,77.5418887
Wipro Gate,bus_stop,12.8410319,77.6600262
International Business School,college,12.8630037,77.6594242
Swamy Hospital,hospital,12.8550625,77.6642727
Unnamed,bus_stop,12.8347115,77.6564143
Surabhi Layout,bus_stop,12.8676135,77.5819244
Jambu Savari Dinne,bus_stop,12.8656785,77.5810417
Royal Layout,bus_stop,12.8685299,77.5767089
Sarathi Nagara,bus_stop,12.8740314,77.5732065
Glass Factory,bus_stop,12.876373,77.5670619
Konanakunte Reliance Fresh,bus_stop,12.8829627,77.5661611
Konanakunte,bus_stop,12.8854474,77.5668298
Kothnuru Dinne,bus_stop,12.8769496,77.5840405
Sarala Birla Academy,bus_stop,12.8115345,77.584486
Nisarga Gate,bus_stop,12.7946749,77.6200681
Mantapa Cross,bus_stop,12.8024845,77.5964761
Jaraganahalli Cross,bus_stop,12.9014849,77.5734716
Ganapathipura,bus_stop,12.8921358,77.5720595
Bayyanapalya,bus_stop,12.874969,77.5423699
Kumaraswamy Layout Police Station,bus_stop,12.9054878,77.5627988
ISRO Layout,bus_stop,12.8990521,77.5578197
Ragi Machine,bus_stop,12.8916486,77.5603924
DAV Public School,bus_stop,12.8939792,77.5563911
Pipeline Vasanthapura,bus_stop,12.8950921,77.5550909
Vasanthapura,bus_stop,12.8963443,77.5524195
Yadalam Nagara,bus_stop,12.8964116,77.5483851
Subramanyapura KEB,bus_stop,12.8975842,77.5464565
Utharahalli,bus_stop,12.9049372,77.5434901
State Bank of India,bank,12.8986538,77.5578162
Karur Vysya Bank,bank,12.8989528,77.5575938
Jayanagar HBCS Layout,bus_stop,12.8926306,77.5429315
Nandi Garden Kothanur,bus_stop,12.8675836,77.5657088
Kidwai Layout,bus_stop,12.8589342,77.5632589
HDFC Bank,bank,12.8394263,77.6615551
Ramakrishna Hospital,hospital,12.8500655,77.6624706
ICICI Bank,bank,12.8500125,77.6627342
AMC College,bus_stop,12.8294155,77.5877321
Sampangiram Nagara,bus_stop,12.8254027,77.5863275
Hulimavu,bus_stop,12.8766497,77.6088757
Kashinagara,bus_stop,12.8986418,77.5665904
State Bank of India,bank,12.8452765,77.6649125
The Oxford Dental College & Hospital,college,12.9001507,77.630134
PESIT Bengaluru South,college,12.8617178,77.6643703
HDFC Bank,bank,12.894433,77.5683437
