location,latitude,longitude,address
4th T block Jayanagar,12.9302534,77.5903874,"4th Cross LIC Colony, Canara Bank Colony, Jayanagar East, Tilak Nagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560011, India"
5th Block Hbr Layout,13.0374664,77.628799,"HBR Layout 5th Block, HBR Layout, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560043, India"
5th Block Jayanagar,12.9200207,77.5811039,"State Bank of India, 40th Cross Road, Jayanagar 5th Block, Pattabhirama Nagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560041, India"
5th Phase JP Nagar,12.9010682,77.5859397,"Auto Gas/Royal School, 24th Main Road, K R Layout, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
5th Stage BEML Layout,13.1501641,77.6688989,"BEML Layout, Bagaluru, Misiganahalli, Yelahanka taluku, Bengaluru Urban, Karnataka, India"
5th block Koramangala,12.9338324,77.6185621,"Tavant Technologies India Pvt Ltd, 2nd Main Road, Koramangala 5th Block, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India"
6th Block Jayanagar,12.9292731,77.5824229,"Jayanagar, Tilak Nagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560011, India"
Electronic City Phase II,12.8473999,77.6724452,"BMTC Depot 19 (Electronic City), Electronics City Phase 2 (East), Electronic City, Bangalore South, Bengaluru Urban, Karnataka, India"
Uttarahalli,12.9055682,77.5455438,"Uttarahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Kothanur,12.8701259,77.5820178,"Kothanur, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Whitefield,12.9957428,77.7579489,"Whitefield (Kadugodi), SH35, Belathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560067, India"
Old Airport Road,12.960474,77.6424673,"HAL Old Airport Road, Corporation Colony, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560017, India"
Rajaji Nagar,12.9945223,77.5543647,"Rajaji Nagar Police Station, 12th Main Road, Rajajinagar 2nd Block, Rajajinagar, Rajajinagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India"
Marathahalli,12.9552572,77.6984163,"Marathahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
7th Phase JP Nagar,12.9119148,77.5798871,"JP Nagar 1st Phase, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Gottigere,12.8565317,77.5877237,"Gottigere, Yelenahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560083, India"
Sarjapur,12.9694037,77.5870258,"Red Line (Sarjapur ⇔ Hebbal), 2nd Cross Road, MLA Layout, Gangenahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India"
Mysore Road,12.9466619,77.5300896,"Mysore Road, KHR Colony, Avalahalli, Deepanjali Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560039, India"
Raja Rajeshwari Nagar,12.932582,77.5162034,"Petrol Bunk RR Nagar, 1st Main Road, Ideal Homes Layout, Rajarajeshwari Nagar, Rajarajeshwari Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560039, India"
Kengeri,12.9176571,77.4837568,"Kengeri, Kengeri Main Road, Kengeri, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
Bellandur,12.9320495,77.6842915,"Bellandur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Thanisandra,13.0522499,77.6316152,"Thanisandra, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Electronic City,12.8487599,77.648253,"Prime City Apartments, Electronic City, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560100, India"
Ramagondanahalli,12.9558969,77.7405826,"Ramagondanahalli, Whitefield, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India"
Yelahanka,13.1006982,77.5963454,"Yelahanka, Yelahanka Old Town, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India"
Hebbal,13.0382184,77.5919,"Hebbal, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Kasturi Nagar,13.0015277,77.6512362,"Kasturi Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560033, India"
Kanakpura Road,12.8856913,77.5526564,"Mantri Mall Kanakpura Road, Kanakapura Road, Anjanapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India"
Electronics City Phase 1,12.8401734,77.6595099,"Golden Tulip, 56/A, Wipro Avenue, Wipro EC 2 / 3, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560100, India"
Kundalahalli,12.977594,77.7155586,"Kundalahalli, 2nd Road, Channama Layout, EPIP Zone, Bharath Aikya Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
Chikkalasandra,12.9121916,77.5476337,"Chikkalasandra, Sarvabhouma Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India"
Murugeshpalya,12.9589406,77.6555917,"Murugeshpalya Jama Masjid, Church Road, Kaveri Nagara, Murugeshpalaya, Konena Agrahara, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560017, India"
Sarjapur  Road,12.9244884,77.6451418,"Sarjapur Road, Sector 1, HSR Layout, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560034, India"
Doddathoguru,12.8505644,77.6466948,"Sai Srinivasa Encalave - A Block, Doddathoguru, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560100, India"
Begur Road,12.8742536,77.6260073,"Begur Road, Beguru, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560114, India"
Devanahalli,13.2483502,77.7134377,"Devanahalli, Devanahalli taluku, Bengaluru North, Karnataka, 562110, India"
Varthur,12.9406508,77.746988,"Varthur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560087, India"
Bommanahalli,12.9034581,77.6230028,"Bommanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Gunjur,12.9209772,77.7361016,"Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Hegde Nagar,13.0720352,77.6333905,"R K Hegde Nagara, Sampigehalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560077, India"
Haralur Road,12.9018012,77.6641767,"Prestige Ferns Residency, Haralur Road, Haralur, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India"
Hennur Road,13.0377061,77.6303636,"Hennur Road, Telecom Layout 10th Block, HBR Layout 5th Block, Hennur, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560043, India"
