location,latitude,longitude,address
Vittasandra,12.8699226,77.6272278,"Vittasandra Main Road, Beguru, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560114, India"
Vidyaranyapura,13.0766407,77.5577315,"Vidyaranyapura, Singapura, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560097, India"
Amruthahalli,13.0648426,77.5993429,"Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, India"
Subramanyapura,12.8992578,77.5321721,"Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India"
Kereguddadahalli,13.0798991,77.5124437,"Gangadhara Kalyana Mantapa, Abbigere Main Road, HP Petrol Bunk, Abbigere, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560090, India"
Kambipura,12.8822711,77.4606466,"Kambipura, Bangalore South, Bengaluru Urban, Karnataka, India"
Sector 7 HSR Layout,12.9093675,77.6407794,"State Bank of India, 1193, 22nd Cross Road, Sector 3, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India"
Mico Layout,12.9129858,77.6037799,"MICO Layout, BTM Layout 2nd Stage, Viswamanava Kuvempu Ward, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Kammanahalli,13.0148544,77.6382029,"Kammanahalli, HRBR Layout, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560043, India"
Banashankari,12.9278196,77.556621,"Banashankari, Kathriguppe, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560085, India"
HRBR Layout,13.0141515,77.6340564,"HRBR Layout, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Konanakunte,12.8792861,77.5697529,"Konanakunte, Harinagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India"
Arekere,12.8872086,77.5960493,"Arekere, Doresanipalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
R.T. Nagar,13.0254156,77.5960071,"R.T Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Tumkur Road,13.0161949,77.556284,"Tumkur Road, Malleswaram, Malleshwaram, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560022, India"
GM Palaya,12.974779,77.6654084,"GM Palya, G.M Palya, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560017, India"
Singasandra,12.8787382,77.642089,"Singasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Jalahalli East,13.0578317,77.5462216,"Gangamma Circle, Yelahanka Road, Kuvempunagara, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560015, India"
Hosakerehalli,12.9299371,77.5374237,"Hosakerehalli, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Indira Nagar,12.9732913,77.6404672,"Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560008, India"
Kodichikkanahalli,12.8966996,77.6124269,"Kodichikkanahalli, Kodi Chikkanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Varthur Road,12.9561094,77.7295768,"Varthur Road, Thubarahalli, Kundalahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India"
Anjanapura,12.8601312,77.5540587,"Anjanapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560108, India"
Abbigere,13.0784176,77.5245316,"Abbigere, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Tindlu,13.2338969,77.5947061,"Tindlu, Devanahalli taluku, Bengaluru North, Karnataka, 562110, India"
Gubbalala,12.8856635,77.5416809,"Gubbalala, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India"
Dairy Circle,12.9371279,77.6017492,"Dairy Circle, Dairy Circle Underpass, S.G Palya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560029, India"
Cunningham Road,12.9857312,77.5960537,"Cunningham Road, Kaverappa Layout, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560052, India"
Kudlu,12.8889126,77.6555716,"Kudlu, Bengaluru South City Corporation, Bengaluru, Anekal, Bengaluru Urban, Karnataka, India"
Banashankari Stage VI,12.8849238,77.5154846,"Banashankari 6th Stage, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India"
Cox Town,12.9934858,77.6251081,"Cox Town, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India"
Kathriguppe,12.929217,77.549692,"Kathriguppe, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Yelahanka New Town,13.0978039,77.5811889,"Yelahanka New Town, Yelahanka Satellite Town, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India"
Sahakara Nagar,13.0621474,77.5800614,"Sahakara Nagar CQAL Kids Park, Kodigehalli, Byatarayanapura, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India"
Ramakrishnappa Layout,12.9778951,77.5164792,"Ramakrishnappa Layout, Sangolli Rayanna Road, Malagala, Kottegepalya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560072, India"
Manayata Tech Park,13.0452041,77.6265447,"Planet Fashion, Survey No. 132P, 133P, & 134P, Nagawara Junction, Manayata Tech Park, Thanisandra Main Road, Fatima Layout, Kempapura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560077, India"
Mangammanapalya,12.9070833,77.6351607,"Mangammanapalya, Mangammapalaya Road, Sector 7, Bandepalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India"
Ganga Nagar,13.0232471,77.5883569,"Ganga Nagar, Ganganagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India"
Himagiri Meadows,12.8963003,77.5894113,"Himagiri Green Meadows Apartments, 1st Cross Road, Bank of Baroda Colony, Puttenahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
Adarsh Nagar,13.0305452,77.609433,"Adarsh Nagar, Shampura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India"
Govindaraja Nagar Ward,12.9755632,77.5367385,"Govindaraja Nagar, Nagarabhavi Road, M C Layout, Dr. Vishnuvardhan Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560040, India"
Tharabanahalli,13.101684,77.4798441,"Tharabanahalli, Yelahanka taluku, Bengaluru Urban, Karnataka, India"
Cholanayakanahalli,13.0364498,77.5975272,"Cholanayakanahalli, Vishwanath Nagenahalli, Vishwanatha Nagenahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India"
ISRO Layout,12.8974283,77.5573828,"ISRO Layout, Kane Muneshwara Ward, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560111, India"
Mysore Highway,12.8674385,77.4374665,"Bengaluru-Mysuru Highway, Tagachaguppe, Kumbalagodu, Kaniminike, Bangalore South, Bengaluru Urban, Karnataka, 560074, India"
T Dasarahalli,13.0430177,77.5130488,"T Dasarahalli, Tumkur Road, Dasarahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560073, India"
Green View Layout,13.0052377,77.6492182,"SGR Green View Aparment, Chikka Banaswadi Road, Doctors Layout, Kasturi Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India"
Shantiniketan Layout,12.8824524,77.6024627,"#50, 2nd Floor, 3B Main Rd, Shantiniketan Layout Hulimavu, Arekere Main Road, Arakere, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Peenya,13.0330515,77.5332233,"Peenya, Tumkur Road, Peenya Industrial Area, Goragunte Palya, Peenya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560058, India"
Jalahalli West,13.0533332,77.5306036,"Jalahalli West, Jalahalli Road, Shettihalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560015, India"
Byatarayanapura,13.068322,77.591006,"Byatarayanapura, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India"
Shampura,13.0309565,77.6111581,"Shampura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Vajarahalli,12.8775221,77.5448072,"Vajarahalli, Kanakapura Road, Vajrahalli, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India"
Chandra Layout,12.955333,77.5238903,"Chandra Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Basavanapura,13.0093485,77.7108379,"Basavanapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Sanjeevini Nagar,12.9162546,77.5891812,"Jnana Sanjeevini, 1st A Cross Road, KSRTC Layout, JP Nagar 2nd Phase, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
Mahalakshmi Layout,13.0113153,77.5446972,"Mahalakshmi Layout, Mahalakshmipuram, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560086, India"
Yarandahalli,12.8087698,77.6673579,"Yarandahalli, Hyarandahalli, Jigani, Anekal, Bengaluru Urban, Karnataka, 560099, India"
Keshava Nagar,12.9598176,77.5335655,"Keshava Polyclinic, Sha Shi Marulayya Road, Hampi Nagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560104, India"
RMV Extension,13.0356488,77.574775,"Vaibhav Theatre, RMV Extension, 2nd stage,68/5, 2nd Cross Road, NGEF Layout, Sanjay Nagara, Nagashettyhalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560094, India"
Tejaswini Nagar,12.8601269,77.6053051,"Tejaswini Nagar Phase 2 Road, Doddakammanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Jai Bheema Nagar,12.9194294,77.6169759,"Jai Bheema Nagar, Madiwala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India"
8th block Koramangala,12.9408685,77.617338,"Koramangala 8th Block, Adugodi, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Jakkuru Layout,13.0763895,77.6057269,"CLT India, Jakkur Main Road, MCHS Layout, Arkavathy Layout, Jakkur, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India"
Nagasandra,13.0479536,77.5001422,"Nagasandra, Tumkur Road, Manjunatha Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560073, India"
Langford Town,12.957998,77.6037312,"Langford Town, Richmond Town, Shanthinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India"
Nagondanahalli,12.97516,77.7703403,"Nagondanahalli, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India"
"Off Sarjapur Road,",12.9098432,77.6878366,"HP Petrol Pump, 12, Doddakannelli Varthur Hobli, 83, Off Sarjapur Road, Kaikondrahalli, Sarjapur Road, Ambalipura, Haralur, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India"
Ngef Layout,12.9592694,77.5093895,"NGEF Layout, Mallathahalli, Vinayaka Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560072, India"
Mylasandra,12.9160293,77.497544,"Mylasandra, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560059, India"
Bank Of Baroda Colony,12.893481,77.5837404,"Bank of Baroda Colony, Puttenahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
Ashwath Nagar,12.9619639,77.6988922,"Ashwath Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India"
Ncpr Industrial Layout,12.9859833,77.7128318,"NCPR Industrial Layout, Doddanakundi Industrial Area 2, Hoodi Main Road, EPIP Zone, Bharath Aikya Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
Anand Nagar,13.0346991,77.5944561,"Anand Nagar, Hebbal, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India"
Kundalahalli Colony,12.9706554,77.7115645,"Kundalahalli Colony, EPIP Zone, Bharath Aikya Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Coffee Board Layout,13.0503251,77.6060803,"Coffee Board Layout, Kempapura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560024, India"
KUDLU MAIN ROAD,12.8921814,77.6483362,"Kudlu Main Road, Hosapalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India"
Geleyara Balaga Layout,13.0712823,77.5061497,"Geleyara Balaga Layout, Abbigere, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560090, India"
Sundara Nagar,12.97293,77.6151399,"Sundara Bhavan, Brunton Road, Craig Park Layout, Victoria Layout, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India"
Silver Springs Layout,12.9582324,77.7098778,"Silver Springs Layout, AECS Layout, Priyadarshini Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India"
Maruthi Sevanagar,13.0027048,77.6346165,"Maruthi Sevanagar, Banaswadi Road, Nagayana Palya, Jeevanahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560033, India"
RMV 2nd Stage,13.0360109,77.5695288,"RMV 2nd Stage, Nagashettyhalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560094, India"
Kodathi,12.8905129,77.7133427,"Kodathi, Bangalore East, Bengaluru Urban, Karnataka, India"
Basavanna Nagar,12.9887336,77.7204129,"Total Environment - Pursuit Of A Radical Rhapsody, Basavanna Nagar, Kaveri Nagara, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India"
T.C PALYA,13.0160374,77.6910921,"T.C Palya, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Muneshwara Nagar,13.0052451,77.7132511,"Muneshwara Nagar, Basavanapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560049, India"
Bull Temple Road,12.954905,77.5674402,"Bull Temple Road, Devaraj Urs Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560019, India"
Prashanth Nagar,12.9776188,77.5313254,"Prashanth Nagar, Dr. Vishnuvardhan Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India"
Sampigehalli,13.0805925,77.6291328,"Sampigehalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, India"
RMV,13.0360109,77.5695288,"RMV 2nd Stage, Nagashettyhalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560094, India"
Bagalur Main Road,13.1302377,77.6664452,"Bagalur Old Police Station, Hennur Bagalur Main Road, Bagaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 562149, India"
Gopalapura,12.9806131,77.5581149,"Gopalapura, Dr. Rajkumar Road, Rajajinagar 4M Block, Da.Ra. Bendre Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India"
"Hoodi Circle,",12.9919623,77.7154228,"Hoodi Circle, Hoodi Main Road, Hoodi, Kaveri Nagara, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
Ashirvad Colony,12.9398513,77.5740326,"Ashirvad Clinic, Old Veterinary Hospital Road, Yediyuru, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560004, India"
Gokula Extension,13.0058913,77.5791562,"Nanda Gokula, Sadashivanagar, Sadashiva Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Kamakshipalya,12.9858669,77.5331755,"Kamakshipalya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India"
Samethanahalli,12.979363,77.7907328,"Samethanahalli, Hosakote taluk, Bengaluru North, Karnataka, 560067, India"
Richmond Town,12.963555,77.6015856,"Richmond Town, Shanthinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India"
Suddaguntepalya,12.931045,77.6098888,"Suddaguntepalya, Tavarekere Main Road, Sadgunte Palya, Chikka Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560029, India"
Thippasandra,12.973936,77.6509982,"Thippasandra, Indiranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560075, India"
Chikkabidarakallu,13.0523616,77.4879154,"Chikkabidarakallu, Bangalore - Nelamangala Expressway, Anchepalya, Madhavara, Chikkabidarakallu, Bangalore North, Bengaluru Urban, Karnataka, 560073, India"
Defence Colony,12.976171,77.6435315,"Defence Colony, Indiranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Kodigehalli,13.0031666,77.7272835,"Kodigehalli, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
Ring Road Nagarbhavi,12.9605743,77.5127492,"State Bank of India, Nagarabhavi Circle Flyover, 12th Block Nagarbhavi, Nagarabhavi, Vinayaka Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560072, India"
NS Palya,12.9089511,77.6035005,"NS Palya, N.S Palya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Bank Avenue,13.0225678,77.6527986,"Bank Avenue Colony, Babusab Palya, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560113, India"
Surabhi Layout,13.0930374,77.6002443,"Surabhi Layout, Yelahanka, Yelahanka Old Town, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India"
Omkar Nagar,12.89,77.5973052,"Omkar Nagar Main Road, Mico Arekere Layout 1st Stage, Arekere, Doresanipalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Maragondanahalli,13.0376489,77.6922232,"Maragondanahalli, Kalkere Channasandra Main Road, Maragondanahalli, K Chennasandra, Maragondanahalli, Ramapura, Bangalore East, Bengaluru Urban, Karnataka, 560036, India"
Silk Board,12.9167972,77.6235628,"Silk Board, Silkboard Double Decker Flyover, MCHS Colony, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India"
Kada Agrahara,12.8608726,77.7594187,"Kada Agrahara, Kadagrahara, Anekal, Bengaluru Urban, Karnataka, India"
BHEL Layout,12.9184375,77.5092496,"BHEL Layout, Pattanagere, Mylasandra, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560098, India"
Medahalli,13.0278454,77.7206079,"Medahalli, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560049, India"
Kashi Nagar,12.9877862,77.5744684,"Kashi Vishwanatha Temple, Acharya Govind Vittal Bhave Road, Nehru Nagar, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560020, India"
Ittamadu,12.9233593,77.5418698,"Ittamadu, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Gattahalli,12.8685628,77.7026913,"Gattahalli, Anekal, Bengaluru Urban, Karnataka, 560099, India"
7th Block Jayanagar,12.9254648,77.5775504,"Jayanagar 7th Block, Devagiri Temple Ward, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
K G Colony,13.0132485,77.6165709,"Postal and Telecom Colony, Arabic College Main Road, Kushal Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560045, India"
Herohalli,12.9912345,77.4870119,"Herohalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Ashwini layout,12.9396583,77.6288969,"Ashwini Layout, Koramangala, Sri Lakshmi Devi Ward, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Marathalli bridge,12.9566496,77.7070717,"Marathalli Bridge Service Road, Silver Springs Layout, AECS Layout, Priyadarshini Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India"
Dooravani Nagar,12.9947771,77.676929,"A Narayanapura, A Narayanapura Main Road, MEG Layout, Mahadevapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560016, India"
JCR Layout,12.933134,77.7043284,"JCR Layout, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India"
Venkatapura,12.8839153,77.47028,"Venkatapura, Bangalore South, Bengaluru Urban, Karnataka, India"
Sneha Colony,12.9987826,77.6177648,"Sneha Villa, 47, Kenchappa Road, Lazar Layout, Frazer Town, Pulakeshi Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India"
Hosapalya,12.8974222,77.6496873,"Hosapalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India"
Doddagubbi,13.0720681,77.6683289,"Doddagubbi, Bangalore East, Bengaluru Urban, Karnataka, India"
Sector 6 HSR Layout,12.9156177,77.6347321,"State Bank of India, Outer Ring Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India"
ITI Layout,12.9665733,77.5016708,"ITI Layout, Mallathahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560072, India"
Vasanthapura,12.8894951,77.5596744,"Vasanthapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Hosahalli,12.9660431,77.5414979,"Hosahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Huskur,12.8607674,77.7071019,"Huskur, Huskuru, Gattahalli, Anekal, Bengaluru Urban, Karnataka, 560099, India"
Shanthala Nagar,12.9714173,77.5994394,"Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India"
Teachers Colony,12.9188265,77.6341185,"Teacher's Colony, Sector 5, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India"
Srinivasa Nagar,12.9877574,77.5378544,"Srinivasa Wines, 1st Main Road, Sharada Colony, Basaveshwara Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India"
Ambedkar Colony,12.9708934,77.6951918,"Ambedkar Colony, Doddanekundi, Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India"
Avalahalli,12.9459464,77.5409354,"Avalahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Prakruthi Nagar,13.0978966,77.6157367,"Prakruthi Nagar, Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India"
Sadaramangala,12.9989026,77.7375086,"Sadaramangala, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560067, India"
B Narayanapura,12.9980556,77.6848622,"B. Narayanapura, A Narayanapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560036, India"
Green Garden Layout,12.8727237,77.6451233,"Green Garden Layout, Singasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Parappana Agrahara,12.8802088,77.6658442,"Bangalore Central Jail, Jail Road, Naganathapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India"
KSRTC Layout,12.9128386,77.5934931,"KSRTC Layout, JP Nagar 2nd Phase, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
P&T Colony,12.9597301,77.6421523,"ISRO Housing Colony, Domlur, Domluru, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
New Gurappana Palya,12.9242342,77.6041393,"GUHPS New Gurappana Palya, Gurappana Palya, Jayanagar East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560029, India"
Palanahalli,13.1163349,77.6146643,"Palanahalli, Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India"
V.V Puram,12.9500602,77.5768521,"V.V Puram, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560004, India"
HMT Layout,13.0276524,77.5921251,"HMT Layout, Ganga Nagar, Ganganagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India"
manyata park,13.0551983,77.62124,"Manyata Park, Kempapura, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Shirdi Sai Layout,12.9135912,77.6067733,"Shri Shirdi Sai Stationery, 390, 7th Cross Road, MICO Layout, BTM Layout 2nd Stage, Viswamanava Kuvempu Ward, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Sathya Sai Layout,12.9327296,77.7039713,"Sathya Sai Paradise, Boganahalli Road, JCR Layout, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India"
